[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001972s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002215s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_album` [ RunTime:0.001891s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_album_cate` [ RunTime:0.001822s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 70 行.
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 38 行.
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_group` [ RunTime:0.001692s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `pp_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000822s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001578s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000553s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 58 行.
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001720s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001120s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001199s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.007837s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007912s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000287s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000326s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001072s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000392s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002252s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001614s ]
[ 2012-10-15T14:04:47+08:00 ] /SHX/PinPHP/admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001713s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000493s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000570s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001836s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002159s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002123s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_album` [ RunTime:0.001627s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_album_cate` [ RunTime:0.001618s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_group` [ RunTime:0.001955s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SELECT `id`,`title` FROM `pp_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000515s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001581s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000618s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 58 行.
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002049s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001899s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: SELECT `cid`,count(id) as cate_nums FROM `pp_items` GROUP BY cid  [ RunTime:0.012384s ]
[ 2012-10-15T14:04:56+08:00 ] /SHX/PinPHP/admin.php?a=index&m=index | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '118' ) [ RunTime:0.000355s ]
