[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001686s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='581' [ RunTime:0.001028s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002081s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000704s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001758s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='118' LIMIT 1   [ RunTime:0.000781s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001720s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000776s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001821s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='580' [ RunTime:0.000796s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001925s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000722s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001750s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='376' LIMIT 1   [ RunTime:0.000819s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001703s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000761s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001579s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='579' [ RunTime:0.000813s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001905s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000695s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001710s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='353' LIMIT 1   [ RunTime:0.000755s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001858s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000779s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001826s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='578' [ RunTime:0.000825s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002111s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000702s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002000s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='333' LIMIT 1   [ RunTime:0.000716s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.002095s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000837s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001779s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='577' [ RunTime:0.000849s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001991s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000763s ]
